Time;Temperature(℃);Feels Like(℃);Dew Point(℃);Humidity(%);Temperature(℃);Humidity(%);Solar(W/m²);UVI;Rain Rate(mm/hr);Daily(mm);Event(mm);Hourly(mm);Weekly(mm);Monthly(mm);Yearly(mm);Wind Speed(m/s);Wind Gust(m/s);Wind Direction(º);Relative(hPa);Absolute(hPa);Temperature(℃);Humidity(%);Soilmoisture(%);Soilmoisture(%);Temperature(℃);Haptic Array(Battery)(V);Haptic Array(Capacitor)(V);Soilmoisture Sensor CH1(V);Soilmoisture Sensor CH2(V);Temperature Sensor CH1(V)
2023-07-27 00:00;15,7;15,7;10,3;70;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,9;228;1009,4;1009,4;24,4;52;28;25;20,5;3,06;5,1;1,5;1,5;1,50
2023-07-27 00:05;15,7;15,7;10,4;71;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,4;215;1009,3;1009,3;24,4;52;28;25;20,4;3,06;5,1;1,5;1,5;1,50
2023-07-27 00:10;15,6;15,6;10,6;72;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,7;271;1009,2;1009,2;24,4;52;28;25;20,4;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:15;15,6;15,6;10,7;73;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,0;9;1009,2;1009,2;24,4;52;28;25;20,4;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:20;15,5;15,5;10,7;73;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,0;276;1009,1;1009,1;24,4;52;28;25;20,4;3,06;5,0;1,5;1,5;1,48
2023-07-27 00:25;15,4;15,4;10,6;73;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,3;210;1009,1;1009,1;24,4;52;28;25;20,3;3,06;5,0;1,5;1,5;1,48
2023-07-27 00:30;15,3;15,3;10,7;74;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,6;203;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,48
2023-07-27 00:35;15,3;15,3;10,8;75;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,0;235;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:40;15,2;15,2;10,8;75;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,6;224;1009,3;1009,3;24,4;52;28;25;20,3;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:45;15,0;15,0;10,9;76;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,3;220;1009,3;1009,3;24,4;52;28;25;20,3;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:50;14,9;14,9;10,9;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;2,7;204;1009,1;1009,1;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 00:55;14,9;14,9;10,9;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,5;226;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:00;14,8;14,8;11,0;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,4;210;1009,2;1009,2;24,4;52;28;25;20,2;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:05;14,7;14,7;10,9;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,7;216;1009,2;1009,2;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:10;14,7;14,7;10,8;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,2;213;1009,2;1009,2;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:15;14,7;14,7;10,8;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,4;206;1009,3;1009,3;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:20;14,7;14,7;10,7;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,4;216;1009,2;1009,2;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:25;14,7;14,7;10,7;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;2,0;223;1009,3;1009,3;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,48
2023-07-27 01:30;14,7;14,7;10,7;77;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,8;209;1009,4;1009,4;24,3;52;28;25;20,0;3,06;5,0;1,5;1,5;1,48
2023-07-27 01:35;14,6;14,6;10,7;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;1,5;193;1009,3;1009,3;24,3;52;28;25;20,0;3,06;5,0;1,5;1,5;1,49
2023-07-27 01:40;14,5;14,5;10,7;78;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,9;230;1009,3;1009,3;24,3;52;28;25;20,1;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:45;14,4;14,4;10,8;79;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;1,8;215;1009,4;1009,4;24,3;52;28;25;20,0;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:50;14,3;14,3;10,8;79;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,8;2,1;242;1009,4;1009,4;24,3;52;28;25;19,9;3,06;5,0;1,5;1,5;1,50
2023-07-27 01:55;14,3;14,3;10,9;80;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,7;218;1009,4;1009,4;24,3;52;28;25;19,9;3,06;5,0;1,5;1,5;1,50
2023-07-27 02:00;14,1;14,1;10,9;81;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;2,7;203;1009,4;1009,4;24,3;52;28;25;19,9;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:05;14,0;14,0;10,9;82;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;1,9;269;1009,4;1009,4;24,3;52;28;25;19,8;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:10;13,9;13,9;10,9;82;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,2;238;1009,3;1009,3;24,3;52;28;25;19,8;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:15;13,8;13,8;10,9;83;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,8;203;1009,3;1009,3;24,3;52;28;25;19,8;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:20;13,7;13,7;10,9;83;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;1,5;196;1009,3;1009,3;24,2;52;28;25;19,8;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:25;13,7;13,7;10,9;83;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,8;260;1009,4;1009,4;24,2;52;28;25;19,8;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:30;13,6;13,6;10,9;84;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,8;226;1009,2;1009,2;24,2;52;28;25;19,8;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:35;13,5;13,5;10,8;84;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,3;207;1009,2;1009,2;24,2;52;27;25;19,7;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:40;13,5;13,5;10,9;84;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,5;215;1009,1;1009,1;24,2;52;28;25;19,6;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:45;13,4;13,4;10,9;85;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;0,7;219;1009,2;1009,2;24,2;52;28;25;19,7;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:50;13,3;13,3;10,9;85;23,9;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,1;195;1009,2;1009,2;24,2;52;28;25;19,6;3,06;4,9;1,5;1,5;1,50
2023-07-27 02:55;13,3;13,3;10,9;86;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,3;215;1009,2;1009,2;24,2;52;28;25;19,6;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:00;13,2;13,2;10,9;86;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;0,9;230;1009,2;1009,2;24,2;51;27;25;19,6;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:05;13,2;13,2;10,9;86;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;0,9;184;1009,1;1009,1;24,2;51;28;25;19,5;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:10;13,2;13,2;10,9;86;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,2;233;1009,0;1009,0;24,2;51;28;25;19,4;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:15;13,1;13,1;10,9;86;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,0;289;1009,0;1009,0;24,2;51;28;25;19,4;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:20;13,1;13,1;11,0;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;0,6;5;1009,0;1009,0;24,2;51;27;25;19,4;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:25;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,1;195;1008,9;1008,9;24,2;51;28;25;19,3;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:30;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,1;241;1009,0;1009,0;24,1;51;27;25;19,3;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:35;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,2;205;1009,0;1009,0;24,1;51;27;25;19,4;3,06;4,9;1,5;1,5;1,50
2023-07-27 03:40;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;1,8;204;1008,9;1008,9;24,1;51;27;25;19,3;3,06;4,8;1,5;1,5;1,50
2023-07-27 03:45;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;0,9;213;1008,9;1008,9;24,1;51;28;25;19,3;3,06;4,8;1,5;1,5;1,50
2023-07-27 03:50;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,2;1;1008,9;1008,9;24,1;51;27;25;19,3;3,06;4,8;1,5;1,5;1,50
2023-07-27 03:55;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,2;80;1008,8;1008,8;24,1;51;27;25;19,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:00;13,0;13,0;10,9;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;2,0;217;1008,8;1008,8;24,1;51;27;25;19,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:05;12,9;12,9;10,9;88;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,2;193;1008,8;1008,8;24,1;51;28;25;19,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:10;12,9;12,9;10,8;87;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;2,4;207;1008,8;1008,8;24,1;51;27;25;19,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:15;12,9;12,9;10,9;88;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,2;209;1008,8;1008,8;24,1;51;27;25;19,1;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:20;12,9;12,9;10,9;88;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,4;212;1008,9;1008,9;24,0;51;27;25;19,0;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:25;12,9;12,9;10,9;88;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,4;285;1008,8;1008,8;24,1;51;27;25;19,0;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:30;12,9;12,9;10,9;88;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;1,5;196;1008,8;1008,8;24,0;51;27;25;19,0;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:35;12,9;12,9;10,9;88;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;1,7;209;1008,8;1008,8;24,0;51;27;25;19,0;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:40;12,8;12,8;10,8;88;23,8;47;0,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,5;187;1008,8;1008,8;24,0;51;27;25;19,0;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:45;12,7;12,7;10,9;89;23,8;47;0,1;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;1,4;125;1008,7;1008,7;24,0;51;27;25;18,9;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:50;12,6;12,6;10,8;89;23,8;47;0,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,4;171;1008,7;1008,7;24,0;51;27;25;18,9;3,06;4,8;1,5;1,5;1,50
2023-07-27 04:55;12,5;12,5;10,7;89;23,8;47;0,4;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;0,8;176;1008,7;1008,7;24,0;51;27;25;18,8;3,06;4,8;1,5;1,5;1,50
2023-07-27 05:00;12,4;12,4;10,7;89;23,8;47;0,7;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,0;101;1008,8;1008,8;24,0;51;27;25;18,8;3,06;4,8;1,5;1,5;1,50
2023-07-27 05:05;12,3;12,3;10,7;90;23,8;47;1,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;0,9;205;1008,8;1008,8;24,0;51;27;25;18,8;3,06;4,8;1,5;1,5;1,50
2023-07-27 05:10;12,3;12,3;10,7;90;23,8;47;1,8;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,0;0,9;22;1008,8;1008,8;24,0;51;27;25;18,8;3,06;4,8;1,5;1,5;1,50
2023-07-27 05:15;12,3;12,3;10,7;90;23,8;47;2,8;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,1;0,7;131;1008,8;1008,8;24,0;51;27;25;18,7;3,06;4,8;1,5;1,5;1,50
2023-07-27 05:20;12,3;12,3;10,7;90;23,8;47;3,8;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,3;204;1008,8;1008,8;24,0;51;27;25;18,7;3,06;4,7;1,5;1,5;1,50
2023-07-27 05:25;12,3;12,3;10,5;89;23,8;47;5,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,4;204;1008,7;1008,7;24,0;51;27;25;18,7;3,06;4,7;1,5;1,5;1,50
2023-07-27 05:30;12,3;12,3;10,5;89;23,8;47;7,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,5;159;1008,8;1008,8;24,0;51;27;25;18,7;3,06;4,7;1,5;1,5;1,50
2023-07-27 05:35;12,3;12,3;10,6;89;23,8;47;8,9;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,0;198;1008,7;1008,7;24,0;51;27;25;18,6;3,06;4,7;1,5;1,5;1,50
2023-07-27 05:40;12,4;12,4;10,6;89;23,8;47;11,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,9;1,9;210;1008,7;1008,7;23,9;51;27;25;18,5;3,06;4,7;1,5;1,5;1,50
2023-07-27 05:45;12,5;12,5;10,7;89;23,8;47;14,1;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,1;172;1008,7;1008,7;23,9;51;27;25;18,6;3,06;4,7;1,5;1,5;1,50
2023-07-27 05:50;12,7;12,7;10,7;88;23,8;47;17,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,8;1,5;195;1008,8;1008,8;23,9;51;27;25;18,5;3,06;4,7;1,5;1,5;1,50
2023-07-27 05:55;12,8;12,8;10,6;87;23,8;47;21,1;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,3;201;1008,7;1008,7;23,9;50;27;25;18,5;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:00;12,8;12,8;10,6;86;23,7;47;25,5;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,4;1,8;196;1008,5;1008,5;23,9;50;27;25;18,5;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:05;13,1;13,1;10,8;85;23,7;47;30,3;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;0,9;48;1008,5;1008,5;23,9;50;27;25;18,4;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:10;13,4;13,4;10,8;84;23,8;47;35,1;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,3;67;1008,4;1008,4;23,9;50;27;25;18,4;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:15;13,5;13,5;10,9;84;23,7;47;40,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,4;206;1008,6;1008,6;23,9;50;27;25;18,4;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:20;13,5;13,5;10,8;84;23,7;47;45,4;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,7;211;1008,5;1008,5;23,9;50;27;25;18,4;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:25;13,4;13,4;10,8;84;23,7;47;51,1;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,8;2,4;217;1008,5;1008,5;23,9;50;27;25;18,3;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:30;13,5;13,5;10,7;83;23,7;47;58,7;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;2,9;199;1008,5;1008,5;23,9;50;27;25;18,3;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:35;13,6;13,6;10,7;83;23,7;47;69,8;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,9;218;1008,4;1008,4;23,9;50;27;25;18,2;3,06;4,7;1,5;1,5;1,50
2023-07-27 06:40;13,7;13,7;10,7;82;23,7;47;79,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,3;1,7;211;1008,4;1008,4;23,9;50;27;25;18,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 06:45;13,8;13,8;10,8;82;23,7;47;80,3;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,8;2,0;245;1008,4;1008,4;23,9;50;27;25;18,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 06:50;14,1;14,1;10,8;81;23,7;47;79,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;1,6;226;1008,4;1008,4;23,8;50;27;25;18,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 06:55;14,2;14,2;10,8;80;23,7;47;79,4;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;1,0;2,8;193;1008,4;1008,4;23,8;50;27;25;18,2;3,06;4,8;1,5;1,5;1,50
2023-07-27 07:00;14,2;14,2;10,7;80;23,7;47;73,8;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,8;3,3;158;1008,3;1008,3;23,8;50;27;25;18,2;3,06;4,8;1,5;1,5;1,48
2023-07-27 07:05;14,6;14,6;10,9;78;23,7;47;75,1;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,2;1,6;181;1008,3;1008,3;23,8;50;27;25;18,1;3,06;4,8;1,5;1,5;1,48
2023-07-27 07:10;14,6;14,6;10,8;78;23,7;47;73,2;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;1,3;2,9;217;1008,3;1008,3;23,8;50;27;25;18,1;3,06;4,8;1,5;1,5;1,48
2023-07-27 07:15;14,6;14,6;10,9;79;23,7;47;74,0;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;3,1;214;1008,4;1008,4;23,8;50;27;25;18,0;3,06;4,8;1,5;1,5;1,48
2023-07-27 07:20;14,7;14,7;10,8;78;23,7;47;95,6;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,6;2,3;217;1008,4;1008,4;23,8;50;27;25;18,1;3,06;4,9;1,5;1,5;1,48
2023-07-27 07:25;14,8;14,8;10,8;77;23,7;47;74,7;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;1,0;1,9;210;1008,5;1008,5;23,8;50;27;25;18,1;3,06;4,9;1,5;1,5;1,48
2023-07-27 07:30;14,9;14,9;10,8;76;23,7;47;113,7;1;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;1,9;199;1008,4;1008,4;23,8;50;27;25;18,0;3,06;4,9;1,5;1,5;1,48
2023-07-27 07:35;15,2;15,2;10,9;76;23,7;47;97,7;0;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,7;1,6;148;1008,3;1008,3;23,8;50;27;25;18,0;3,06;4,9;1,5;1,5;1,48
2023-07-27 07:40;15,4;15,4;10,9;75;23,7;47;172,4;1;0,0;0,0;3,1;0,0;21,6;41,7;314,1;0,5;2,3;151;1008,3;1008,3;23,8;50;27;25;18,0;3,06;4,9;1,5;1,5;1,48
2023-07-27 07:45;15,7;15,7;10,9;73;23,7;47;107,8;1;0,0;0,0;3,1;0,0;21,6;41,7;314,1;1,8;2,6;183;1008,2;1008,2;23,8;50;27;25;18,0;3,06;4,9;1,5;1,5;1,48
